2024-05-29 22:59:24.522 [restartedMain] INFO  c.d.logging.LoggingApplication - Starting LoggingApplication using Java 22.0.1 with PID 7380 (/Users/danieleocchi/Downloads/logging/target/classes started by danieleocchi in /Users/danieleocchi/Downloads/logging)
2024-05-29 22:59:24.523 [restartedMain] INFO  c.d.logging.LoggingApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-29 22:59:24.547 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-05-29 22:59:24.547 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-05-29 22:59:24.955 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-05-29 22:59:24.960 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-05-29 22:59:24.961 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-29 22:59:24.961 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2024-05-29 22:59:24.976 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-29 22:59:24.977 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 429 ms
2024-05-29 22:59:25.115 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-05-29 22:59:25.121 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-05-29 22:59:25.127 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-29 22:59:25.132 [restartedMain] INFO  c.d.logging.LoggingApplication - Started LoggingApplication in 0.881 seconds (process running for 1.192)
